Time,Velocity,AltitudeFromSea,
19,192,-32.95,
20,195,-45.01,
21,200,-94.45,
22,206,-172.53,
23,212,-274.71,
24,218,-345.94,
25,224,-403.97,
26,231,-469.06,
27,237,-544.71,
28,244,-593.37,
29,251,-620.43,
30,257,-657.13,
31,264,-679.97,
32,271,-698.55,
33,278,-724.44,
34,284,-734.67,
35,291,-737.3,
36,298,-742.94,
37,305,-749.76,
38,311,-734.41,
39,318,-722.91,
40,325,-708.15,
41,332,-852.52,
42,339,-874.19,
43,346,-871.7,
44,353,-868.34,
45,360,-860.42,
46,367,-855.23,
47,374,-847.45,
48,381,-858.03,
49,388,-861.18,
50,395,-843.04,
51,403,-844.22,
52,410,-826.15,
53,418,-826.42,
54,426,-840.91,
55,434,-858.34,
56,442,-865.06,
57,450,-876.36,
58,458,-874,
59,467,-892.76,
60,475,-884.43,
61,484,-893.47,
62,493,-894.32,
63,502,-906.43,
64,511,-924.65,
65,520,-924.91,
66,530,-921.69,
67,539,-944.2,
68,549,-948.5,
69,559,-929.16,
70,569,-923.02,
71,580,-922.38,
72,590,-937.94,
73,600,-943.85,
74,611,-945.95,
75,622,-942.7,
76,632,-952.46,
77,644,-944.68,
78,655,-947.86,
79,666,-952.62,
80,677,-930.72,
81,689,-941.69,
82,700,-951.85,
83,712,-971.02,
84,724,-976.03,
85,736,-975.75,
86,748,-964,
87,761,-942.37,
88,773,-930.63,
89,786,-940.83,
90,799,-933.95,
91,812,-940.32,
92,824,-957.77,
93,838,-952.15,
94,851,-945.14,
95,865,-955.05,
96,878,-970.25,
97,892,-1001.63,
98,906,-1024.89,
99,920,-1052.56,
100,934,-1036.45,
101,948,-1030.16,
102,963,-1034.84,
103,977,-1009.2,
104,992,-985,
105,1007,-971.96,
106,1022,-965.15,
107,1037,-979.46,
108,1052,-965.96,
109,1068,-967.98,
110,1083,-968.71,
111,1099,-969.64,
112,1115,-960.5,
113,1131,-971.54,
114,1147,-951.07,
115,1164,-971.66,
116,1180,-973.77,
117,1197,-924.07,
118,1213,-918.97,
119,1230,-907.7,
120,1247,-915.86,
121,1265,-920.84,
122,1282,-945.43,
123,1300,-963.08,
124,1317,-982.89,
125,1335,-992.88,
126,1353,-988.35,
127,1371,-1007.43,
128,1389,-1029.36,
129,1408,-1072.84,
130,1426,-1060.69,
131,1445,-1038.71,
132,1464,-1081.34,
133,1483,-1064.93,
134,1498,-1046.76,
135,1502,-1047.06,
136,1498,-1048.1,
137,1494,-1028.22,
138,1490,-1032.74,
139,1486,-1003.7,
140,1482,-992.78,
141,1478,-1008.69,
142,1474,-1015.56,
143,1474,-985.36,
144,1484,-981.5,
145,1497,-1011.07,
146,1498,-1028.64,
147,1494,-1024.88,
148,1490,-1013.95,
149,1486,-1022.51,
150,1483,-1052.5,
151,1479,-1059.49,
152,1475,-1070.16,
153,1471,-1049.6,
154,1468,-1045.67,
155,1464,-1055.83,
156,1461,-1037.51,
157,1457,-1060.47,
158,1453,-1051.02,
159,1450,-1030.92,
160,1446,-1017.62,
161,1443,-1013.13,
162,1439,-987.69,
163,1436,-1012.64,
164,1432,-1044.21,
165,1429,-1109.14,
166,1425,-1126.69,
167,1422,-1154.71,
168,1419,-1165.03,
169,1415,-1164.24,
170,1412,-1167.7,
171,1409,-1164.46,
172,1406,-1142.97,
173,1402,-1137.72,
174,1399,-1135.01,
175,1396,-1128.29,
176,1393,-1111.42,
177,1390,-1099.08,
178,1386,-1090.47,
179,1383,-1130.88,
180,1380,-1146.39,
181,1377,-1158.93,
182,1374,-1157.31,
183,1371,-1128.43,
184,1368,-1152.57,
185,1365,-1167.94,
186,1362,-1147.74,
187,1359,-1146.12,
188,1357,-1132.19,
189,1354,-1103.34,
190,1351,-1124.52,
191,1348,-1185.12,
192,1345,-1210.95,
193,1342,-1189.55,
194,1340,-1166.04,
195,1337,-1163.71,
196,1334,-1156.07,
197,1332,-1153.92,
198,1329,-1153.68,
199,1326,-1171.65,
200,1324,-1149.01,
201,1321,-1146.93,
202,1319,-1153.35,
203,1316,-1145.63,
204,1313,-1122.5,
205,1311,-1113.28,
206,1309,-1078.33,
207,1306,-1051.01,
208,1304,-1071.9,
209,1301,-1042.17,
210,1299,-1013.08,
211,1296,-1044.26,
212,1294,-1069.77,
213,1292,-1055.22,
214,1290,-1089.4,
215,1287,-1068.65,
216,1285,-1063.7,
217,1283,-1094.54,
218,1281,-1086.41,
219,1278,-1058.67,
220,1276,-1042.84,
221,1274,-1019.36,
222,1272,-1007.25,
223,1270,-1004.48,
224,1268,-1009.51,
225,1266,-1029.99,
226,1264,-1048.01,
227,1262,-1040.46,
228,1260,-1014.47,
229,1258,-1005.44,
230,1256,-1008.32,
231,1254,-1002.26,
232,1252,-1011.17,
233,1250,-1021.32,
234,1249,-1024.3,
235,1247,-1062.21,
236,1245,-1063.85,
237,1243,-1074.4,
238,1242,-1060.47,
239,1240,-1046.99,
240,1238,-1045.99,
241,1237,-1088.27,
242,1235,-1106.07,
243,1233,-1111.91,
244,1232,-1090.63,
245,1230,-1101.92,
246,1229,-1080.91,
247,1227,-1106.8,
248,1226,-1118.1,
249,1224,-1130.08,
250,1223,-1122.16,
251,1221,-1105.29,
252,1220,-1129.99,
253,1219,-1142.99,
254,1217,-1137.03,
255,1216,-1125.47,
256,1215,-1117.48,
257,1213,-1089.06,
258,1212,-1066.51,
259,1211,-1046.73,
260,1210,-1024.24,
261,1208,-1014.14,
262,1207,-993.29,
263,1206,-942.95,
264,1205,-940.89,
265,1204,-942.95,
266,1203,-953.78,
267,1202,-973.89,
268,1201,-1002.14,
269,1200,-1021.74,
270,1199,-1012.28,
271,1198,-1046.12,
272,1197,-1040.97,
273,1196,-1044.05,
274,1195,-1054.05,
275,1195,-1070.38,
276,1194,-1107.71,
277,1193,-1110.77,
278,1192,-1088.25,
279,1191,-1108.98,
280,1191,-1104.29,
281,1190,-1091.37,
282,1189,-1065.57,
283,1189,-1079.59,
284,1188,-1086.27,
285,1187,-1100.15,
286,1187,-1110.7,
287,1186,-1130.29,
288,1186,-1166.91,
289,1185,-1158.46,
290,1185,-1175.13,
291,1184,-1162.07,
292,1184,-1132.51,
293,1184,-1120.21,
294,1183,-1082.79,
295,1182,-1037.87,
296,1181,-1034.3,
297,1181,-997.74,
298,1181,-1002.29,
299,1180,-981.77,
300,1180,-964.73,
301,1180,-992.66,
302,1180,-1011.96,
303,1180,-1021.17,
304,1179,-1087.84,
305,1184,-1134.23,
306,1200,-1122.64,
307,1225,-1149.18,
308,1250,-1190.97,
309,1276,-1198.33,
310,1302,-1209.78,
311,1328,-1215.62,
312,1354,-1203.12,
313,1381,-1163.81,
314,1407,-1165.77,
315,1435,-1148.13,
316,1461,-1139.3,
317,1489,-1090.41,
318,1516,-1075.8,
319,1545,-1085.65,
320,1572,-1067.34,
321,1601,-1020.25,
322,1629,-1013.48,
323,1659,-977.73,
324,1687,-997.13,
325,1717,-1036.45,
326,1746,-1022.1,
327,1776,-1044.44,
328,1806,-1086.01,
329,1837,-1079.62,
330,1867,-1083.76,
331,1898,-1095.3,
332,1928,-1098.17,
333,1960,-1073.51,
334,1992,-1096.9,
335,2024,-1105.1,
336,2056,-1143.42,
337,2089,-1201.55,
338,2117,-1176.73,
339,2130,-1153.83,
340,2130,-1169.65,
